sequence_no,log_id,timestamp,source,service,event_type,severity,risk_label,risk_score,method,endpoint,status_code,response_time_ms,user_id,source_ip,session_id,user_agent,host,environment,trace_id,mitre_tactic,mitre_technique_id,mitre_technique,recommendation,message
260,LOG-083468997409,2026-07-02T12:01:26+05:30,api,auth-service,request,info,safe,10,PUT,/api/credits-based/user_wallet,200,761,john,192.168.1.10,sess-017537ee,Chrome/126 Windows,app-02,production,trace-661e0b77d67f438f,,,,No immediate action required. Continue normal monitoring.,"PUT /api/credits-based/user_wallet 200 in 761ms (next.js: 5ms, application-code: 700ms)"
261,LOG-ADCD44DF67C8,2026-07-02T12:02:43+05:30,api,api-gateway,request,info,safe,7,GET,/api/settings,301,851,keerthi,172.16.0.21,sess-d5fab149,Firefox/124 Windows,gateway-01,production,trace-2e5e6e3cebf543ef,,,,No immediate action required. Continue normal monitoring.,"GET /api/settings 301 in 851ms (next.js: 65ms, application-code: 835ms)"
262,LOG-1D43249CF757,2026-07-02T12:03:45+05:30,api,auth-service,request,info,safe,25,POST,/api/auth,200,312,student01,192.168.1.12,sess-bbc0d489,MobileChrome/126 Android,db-01,production,trace-d0639de9ec0c44a8,,,,No immediate action required. Continue normal monitoring.,"POST /api/auth 200 in 312ms (next.js: 15ms, application-code: 255ms)"
263,LOG-CF43D40CEF20,2026-07-02T12:04:10+05:30,api,api-gateway,request,info,safe,17,POST,/api/profile,200,589,guest,172.16.0.33,sess-8298ff29,Firefox/124 Windows,gateway-01,staging,trace-5faa83b80d044741,,,,No immediate action required. Continue normal monitoring.,"POST /api/profile 200 in 589ms (next.js: 80ms, application-code: 499ms)"
264,LOG-4295F46FE5EE,2026-07-02T12:04:13+05:30,api,api-gateway,request,info,safe,19,PATCH,/api/credits-based/per-hour-cost,200,243,student02,192.168.1.12,sess-25d4dd8b,PostmanRuntime/7.37,api-01,development,trace-11e9b33e7c694337,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/credits-based/per-hour-cost 200 in 243ms (next.js: 92ms, application-code: 130ms)"
265,LOG-C0C422898359,2026-07-02T12:04:43+05:30,api,auth-service,request,info,safe,14,PUT,/api/payment,200,839,manager,172.16.0.33,sess-a865892b,curl/8.1,web-01,production,trace-6470c9585e9e4697,,,,No immediate action required. Continue normal monitoring.,"PUT /api/payment 200 in 839ms (next.js: 98ms, application-code: 726ms)"
266,LOG-4951A9F5431B,2026-07-02T12:05:42+05:30,api,api-gateway,request,info,safe,16,DELETE,/api/grad2it-aws/get-recordings-url,200,123,support,192.168.1.10,sess-3d18b6d4,Safari/17 macOS,app-01,production,trace-3b6f3f84af1b4e29,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/get-recordings-url 200 in 123ms (next.js: 68ms, application-code: 44ms)"
267,LOG-6952AA84C636,2026-07-02T12:06:03+05:30,web,api-gateway,request,info,safe,25,GET,/billing,200,593,student02,192.168.1.12,sess-fd57cf77,Chrome/126 Windows,web-01,staging,trace-d3b591e49b2c460d,,,,No immediate action required. Continue normal monitoring.,"GET /billing 200 in 593ms (next.js: 69ms, application-code: 501ms)"
268,LOG-E898D6636789,2026-07-02T12:06:47+05:30,api,nextjs-app,request,info,safe,18,DELETE,/api/reports/export,304,151,devops,10.0.0.8,sess-3cdcba39,PostmanRuntime/7.37,db-01,staging,trace-fa6451973f774ec7,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/reports/export 304 in 151ms (next.js: 6ms, application-code: 33ms)"
269,LOG-2B95EAC77D60,2026-07-02T12:07:55+05:30,web,api-gateway,request,info,safe,25,GET,/login,200,339,manager,172.16.0.21,sess-afe04431,BotProbe/1.0,web-01,staging,trace-ae22b23065cb4f6c,,,,No immediate action required. Continue normal monitoring.,"GET /login 200 in 339ms (next.js: 90ms, application-code: 296ms)"
270,LOG-3A7D8A2D0DDC,2026-07-02T12:08:55+05:30,api,api-gateway,request,info,safe,11,DELETE,/api/grad2it-aws/get-recordings-url,301,263,guest,192.168.2.15,sess-dae6a7b3,Edge/126 Windows,web-01,development,trace-b0c80a47ce264068,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/get-recordings-url 301 in 263ms (next.js: 73ms, application-code: 178ms)"
271,LOG-314F564EB2F4,2026-07-02T12:09:29+05:30,api,auth-service,request,info,safe,14,GET,/api/profile,200,347,student01,192.168.1.11,sess-9d440e32,MobileChrome/126 Android,app-01,development,trace-fa562d32fb4f4d4f,,,,No immediate action required. Continue normal monitoring.,"GET /api/profile 200 in 347ms (next.js: 40ms, application-code: 340ms)"
272,LOG-731380B900EB,2026-07-02T12:10:42+05:30,api,auth-service,request,info,safe,5,PATCH,/api/admin/users,200,380,student01,192.168.1.10,sess-ba4141d2,PostmanRuntime/7.37,api-01,staging,trace-ab359b51ea854f58,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/admin/users 200 in 380ms (next.js: 90ms, application-code: 278ms)"
273,LOG-5386C0AE2871,2026-07-02T12:10:55+05:30,api,nextjs-app,request,info,safe,21,DELETE,/api/payment,200,881,devops,192.168.1.10,sess-67a977c4,MobileChrome/126 Android,db-01,production,trace-08b59105b1634a40,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/payment 200 in 881ms (next.js: 19ms, application-code: 829ms)"
274,LOG-76391E7DE201,2026-07-02T12:12:04+05:30,web,nextjs-app,request,info,safe,8,GET,/profile,301,431,manager,192.168.1.12,sess-de934296,Safari/17 macOS,api-01,production,trace-1c474f7634f447e7,,,,No immediate action required. Continue normal monitoring.,"GET /profile 301 in 431ms (next.js: 5ms, application-code: 379ms)"
275,LOG-78405E7EE26C,2026-07-02T12:12:52+05:30,api,nextjs-app,request,info,safe,1,DELETE,/api/lab-proxy,304,288,finance_user,10.0.0.8,sess-bf064fe6,Chrome/126 Windows,gateway-01,production,trace-3b7d897e33934bf3,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/lab-proxy 304 in 288ms (next.js: 51ms, application-code: 227ms)"
276,LOG-91E2B9C34B02,2026-07-02T12:13:53+05:30,web,api-gateway,request,info,safe,13,GET,/SIEM-Learning-path,200,512,trainer,192.168.2.15,sess-39c7f1ab,curl/8.1,web-01,production,trace-ee65502c0ee0490c,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 512ms (next.js: 85ms, application-code: 491ms)"
277,LOG-609DA12D43EE,2026-07-02T12:14:52+05:30,api,api-gateway,request,info,safe,5,GET,/api/get-token,301,582,analyst,192.168.1.12,sess-fa40ea61,Edge/126 Windows,db-01,staging,trace-21e95724b8434661,,,,No immediate action required. Continue normal monitoring.,"GET /api/get-token 301 in 582ms (next.js: 83ms, application-code: 499ms)"
278,LOG-1A18D4AA94B7,2026-07-02T12:16:11+05:30,web,nextjs-app,request,info,safe,2,GET,/reports,200,789,analyst,172.16.0.33,sess-c4af3529,BotProbe/1.0,app-02,staging,trace-18d3c6cbf32549b0,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 789ms (next.js: 79ms, application-code: 698ms)"
279,LOG-1DFBFCC34933,2026-07-02T12:17:08+05:30,web,nextjs-app,request,info,safe,3,GET,/reports,200,32,keerthi,192.168.2.15,sess-5239e4e9,PostmanRuntime/7.37,app-01,staging,trace-0ec2d784c98f4e14,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 32ms (next.js: 90ms, application-code: 1ms)"
280,LOG-FFA11ED737EF,2026-07-02T12:17:19+05:30,api,api-gateway,request,info,safe,3,PATCH,/api/credits-based/user_wallet,200,111,finance_user,10.0.0.8,sess-c86f2341,BotProbe/1.0,db-01,development,trace-ff42748f8a9a4944,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/credits-based/user_wallet 200 in 111ms (next.js: 53ms, application-code: 5ms)"
281,LOG-B5F155C8A2EA,2026-07-02T12:17:50+05:30,api,auth-service,request,info,safe,2,PATCH,/api/credits-based/get_usd_cost,200,156,trainer,10.0.0.5,sess-9d0c8355,Edge/126 Windows,app-01,production,trace-bd4268a566e7489b,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/credits-based/get_usd_cost 200 in 156ms (next.js: 32ms, application-code: 59ms)"
282,LOG-417A892CFE7C,2026-07-02T12:19:02+05:30,web,nextjs-app,request,info,safe,20,GET,/admin,204,498,devops,10.0.0.5,sess-726bf941,Safari/17 macOS,worker-01,staging,trace-623c79cfd251430b,,,,No immediate action required. Continue normal monitoring.,"GET /admin 204 in 498ms (next.js: 105ms, application-code: 465ms)"
283,LOG-EBDB248B932E,2026-07-02T12:20:03+05:30,api,nextjs-app,request,info,safe,9,DELETE,/api/credits-based/user_wallet,201,136,manager,192.168.1.12,sess-9c3d8194,BotProbe/1.0,app-01,development,trace-8a6eb364638b4777,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/credits-based/user_wallet 201 in 136ms (next.js: 56ms, application-code: 116ms)"
284,LOG-EA715C891B86,2026-07-02T12:20:37+05:30,api,auth-service,request,info,safe,22,PUT,/api/upload,200,374,admin,10.0.0.5,sess-3ba7230a,curl/8.1,worker-01,production,trace-1c8c8ca5a4764e6e,,,,No immediate action required. Continue normal monitoring.,"PUT /api/upload 200 in 374ms (next.js: 119ms, application-code: 367ms)"
285,LOG-A487136DD21C,2026-07-02T12:21:47+05:30,web,auth-service,request,info,safe,3,GET,/learning-paths,200,791,guest,172.16.0.21,sess-7bc07168,curl/8.1,app-02,development,trace-1482e980aae741e4,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 791ms (next.js: 11ms, application-code: 790ms)"
286,LOG-D1AF5C4BDE3F,2026-07-02T12:22:05+05:30,web,api-gateway,request,info,safe,4,GET,/learning-paths,200,631,support,192.168.1.11,sess-d4fdfd51,Firefox/124 Windows,worker-01,production,trace-304a584823204179,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 631ms (next.js: 5ms, application-code: 514ms)"
287,LOG-0077B9FACC0C,2026-07-02T12:23:24+05:30,api,nextjs-app,request,info,safe,17,PATCH,/api/community-members-showcase/verify-hr,200,478,analyst,192.168.2.15,sess-e8953be0,MobileChrome/126 Android,web-01,production,trace-e1d93210a52a40de,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/community-members-showcase/verify-hr 200 in 478ms (next.js: 63ms, application-code: 446ms)"
288,LOG-31D0FEB5388E,2026-07-02T12:24:38+05:30,web,auth-service,request,info,safe,3,GET,/reports,200,577,api_bot,192.168.2.15,sess-a570874a,Chrome/126 Windows,api-01,production,trace-186b889fb6144c2a,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 577ms (next.js: 108ms, application-code: 542ms)"
289,LOG-9F7A37F83377,2026-07-02T12:25:33+05:30,api,nextjs-app,request,info,safe,22,PATCH,/api/credits-based/per-hour-cost,200,689,manager,10.0.0.8,sess-3877c0b8,Edge/126 Windows,worker-01,development,trace-fe8754205e334bfb,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/credits-based/per-hour-cost 200 in 689ms (next.js: 60ms, application-code: 587ms)"
290,LOG-BF8999700136,2026-07-02T12:25:48+05:30,web,nextjs-app,request,info,safe,12,GET,/admin,301,801,admin,10.0.0.8,sess-57e25c10,Edge/126 Windows,web-01,staging,trace-08f39a1d78854f59,,,,No immediate action required. Continue normal monitoring.,"GET /admin 301 in 801ms (next.js: 20ms, application-code: 773ms)"
291,LOG-272241BE2A12,2026-07-02T12:26:20+05:30,api,auth-service,request,info,safe,20,DELETE,/api/grad2it-aws/community-members,201,148,john,172.16.0.33,sess-4afdc87e,Edge/126 Windows,api-01,development,trace-d18d3a9b9fe44fa9,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/community-members 201 in 148ms (next.js: 114ms, application-code: 40ms)"
292,LOG-23C5A62E022F,2026-07-02T12:26:49+05:30,api,nextjs-app,request,info,safe,14,POST,/api/credits-based/get_usd_cost,200,917,hr_user,10.0.0.5,sess-438b7d7c,Python-requests/2.32,web-01,staging,trace-fcdcecd1d1eb4117,,,,No immediate action required. Continue normal monitoring.,"POST /api/credits-based/get_usd_cost 200 in 917ms (next.js: 105ms, application-code: 867ms)"
293,LOG-E1391DB545A5,2026-07-02T12:27:11+05:30,web,auth-service,request,info,safe,6,GET,/billing,304,102,devops,10.0.0.8,sess-c254e3f1,MobileChrome/126 Android,app-01,staging,trace-2676621ef26843da,,,,No immediate action required. Continue normal monitoring.,"GET /billing 304 in 102ms (next.js: 100ms, application-code: 6ms)"
294,LOG-A7707E8A8517,2026-07-02T12:27:18+05:30,web,auth-service,request,info,safe,1,GET,/billing,301,73,manager,192.168.1.12,sess-bd6cb883,Chrome/126 Windows,api-01,development,trace-c30297dfc8ae44d7,,,,No immediate action required. Continue normal monitoring.,"GET /billing 301 in 73ms (next.js: 5ms, application-code: 71ms)"
295,LOG-10E837FABC40,2026-07-02T12:27:53+05:30,web,auth-service,request,info,safe,8,GET,/login,304,587,support,192.168.1.10,sess-21869ec6,curl/8.1,worker-01,staging,trace-1de16615af314d75,,,,No immediate action required. Continue normal monitoring.,"GET /login 304 in 587ms (next.js: 100ms, application-code: 557ms)"
296,LOG-E9A33729B154,2026-07-02T12:27:59+05:30,api,api-gateway,request,info,safe,5,POST,/api/reports/export,204,488,admin,172.16.0.21,sess-c4f695ff,Safari/17 macOS,app-01,development,trace-f8fcf465408a489f,,,,No immediate action required. Continue normal monitoring.,"POST /api/reports/export 204 in 488ms (next.js: 98ms, application-code: 388ms)"
297,LOG-18D52695D0F4,2026-07-02T12:28:50+05:30,web,nextjs-app,request,info,safe,19,GET,/admin,200,479,hr_user,192.168.1.12,sess-143410e0,Firefox/124 Windows,db-01,staging,trace-e3e0a494509b43e8,,,,No immediate action required. Continue normal monitoring.,"GET /admin 200 in 479ms (next.js: 43ms, application-code: 367ms)"
298,LOG-B143C6C407B7,2026-07-02T12:28:59+05:30,web,auth-service,request,info,safe,15,GET,/dashboard,200,406,hr_user,10.0.0.8,sess-3bad77c0,Safari/17 macOS,web-01,production,trace-1b1619df48d34ee9,,,,No immediate action required. Continue normal monitoring.,"GET /dashboard 200 in 406ms (next.js: 36ms, application-code: 319ms)"
299,LOG-EE7377C8E403,2026-07-02T12:30:01+05:30,api,nextjs-app,request,info,safe,4,DELETE,/api/settings,201,55,api_bot,192.168.2.15,sess-77e0b3d5,Firefox/124 Windows,app-02,development,trace-83c8373205e8441a,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/settings 201 in 55ms (next.js: 29ms, application-code: 54ms)"
300,LOG-6B0C3ABCD91D,2026-07-02T12:30:07+05:30,api,nextjs-app,request,info,safe,15,PATCH,/api/reports/export,200,589,devops,10.0.0.5,sess-2d74694c,PostmanRuntime/7.37,api-01,development,trace-029368abfcc64584,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/reports/export 200 in 589ms (next.js: 63ms, application-code: 526ms)"
301,LOG-6E7402B7AD2C,2026-07-02T12:30:43+05:30,api,api-gateway,request,info,safe,16,DELETE,/api/verify-admin-access,200,384,guest,172.16.0.21,sess-65e7163e,BotProbe/1.0,app-02,staging,trace-8eb0173b5a5a464d,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/verify-admin-access 200 in 384ms (next.js: 97ms, application-code: 364ms)"
302,LOG-213E1183A2CB,2026-07-02T12:31:36+05:30,web,api-gateway,request,info,safe,24,GET,/SIEM-Learning-path,200,820,admin,172.16.0.21,sess-3e1975ea,Firefox/124 Windows,app-02,production,trace-9b42f663891946da,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 820ms (next.js: 105ms, application-code: 752ms)"
303,LOG-B6E221B5684E,2026-07-02T12:32:51+05:30,web,auth-service,request,info,safe,8,GET,/dashboard,200,465,guest,172.16.0.21,sess-fc2b862f,curl/8.1,db-01,staging,trace-f9e141b0e7b24c9c,,,,No immediate action required. Continue normal monitoring.,"GET /dashboard 200 in 465ms (next.js: 11ms, application-code: 434ms)"
304,LOG-367A883BD374,2026-07-02T12:33:42+05:30,web,api-gateway,request,info,safe,6,GET,/courses,301,654,analyst,192.168.1.10,sess-d9f778ea,Chrome/126 Windows,api-01,production,trace-146653fdf19d4a28,,,,No immediate action required. Continue normal monitoring.,"GET /courses 301 in 654ms (next.js: 67ms, application-code: 588ms)"
305,LOG-D46411D15FEA,2026-07-02T12:34:34+05:30,api,api-gateway,request,info,safe,2,GET,/api/get-token,200,791,finance_user,172.16.0.33,sess-c852a840,MobileChrome/126 Android,web-01,development,trace-8bb2474f317e4a91,,,,No immediate action required. Continue normal monitoring.,"GET /api/get-token 200 in 791ms (next.js: 101ms, application-code: 783ms)"
306,LOG-25FA64F876AD,2026-07-02T12:35:00+05:30,api,auth-service,request,info,safe,17,PUT,/api/reports/export,200,681,api_bot,192.168.2.15,sess-c564185d,PostmanRuntime/7.37,web-01,staging,trace-143da3779120424f,,,,No immediate action required. Continue normal monitoring.,"PUT /api/reports/export 200 in 681ms (next.js: 119ms, application-code: 593ms)"
307,LOG-36ADA09451EA,2026-07-02T12:35:41+05:30,web,nextjs-app,request,info,safe,6,GET,/login,200,819,manager,192.168.1.11,sess-936cd99f,MobileChrome/126 Android,web-01,development,trace-bedb4a78b4d24a4f,,,,No immediate action required. Continue normal monitoring.,"GET /login 200 in 819ms (next.js: 35ms, application-code: 749ms)"
308,LOG-D8A7A4201B87,2026-07-02T12:36:13+05:30,web,api-gateway,request,info,safe,12,GET,/SIEM-Learning-path,200,932,student01,192.168.2.15,sess-f212d1ce,BotProbe/1.0,app-01,production,trace-4b3fe527ccf14a5b,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 932ms (next.js: 102ms, application-code: 904ms)"
309,LOG-96CADB9D7B77,2026-07-02T12:36:37+05:30,web,api-gateway,request,info,safe,22,GET,/learning-paths,200,933,manager,192.168.1.10,sess-119453b2,MobileChrome/126 Android,worker-01,development,trace-24289c8c905a4c78,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 933ms (next.js: 114ms, application-code: 882ms)"
310,LOG-F9ABD3263BD2,2026-07-02T12:37:37+05:30,api,api-gateway,request,info,safe,19,DELETE,/api/grad2it-aws/community-members,200,250,devops,172.16.0.33,sess-d0355f55,BotProbe/1.0,app-02,production,trace-f2325d3639b94fd0,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/grad2it-aws/community-members 200 in 250ms (next.js: 105ms, application-code: 151ms)"
311,LOG-002D7E8B325E,2026-07-02T12:38:43+05:30,web,auth-service,request,info,safe,2,GET,/courses,201,179,hr_user,192.168.2.15,sess-dfcf6b42,curl/8.1,web-01,production,trace-540cd048f2d842a2,,,,No immediate action required. Continue normal monitoring.,"GET /courses 201 in 179ms (next.js: 117ms, application-code: 141ms)"
312,LOG-B278E23A4E86,2026-07-02T12:40:01+05:30,api,nextjs-app,request,info,safe,4,GET,/api/grad2it-aws/get-recordings-url,201,342,guest,192.168.1.11,sess-6c62b79b,Firefox/124 Windows,worker-01,development,trace-6f67c0dbf9bb4a79,,,,No immediate action required. Continue normal monitoring.,"GET /api/grad2it-aws/get-recordings-url 201 in 342ms (next.js: 61ms, application-code: 243ms)"
313,LOG-1523C6B4407C,2026-07-02T12:41:05+05:30,api,api-gateway,request,info,safe,9,POST,/api/credits-based/per-hour-cost,204,369,support,172.16.0.33,sess-62940dbf,Safari/17 macOS,worker-01,staging,trace-d866a550c12d4a2a,,,,No immediate action required. Continue normal monitoring.,"POST /api/credits-based/per-hour-cost 204 in 369ms (next.js: 51ms, application-code: 348ms)"
314,LOG-9C010DD62A74,2026-07-02T12:41:39+05:30,web,nextjs-app,request,info,safe,4,GET,/SIEM-Learning-path,200,947,student01,192.168.2.15,sess-7ac77cdf,Edge/126 Windows,web-01,staging,trace-102413a3f67b40c8,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 947ms (next.js: 34ms, application-code: 857ms)"
315,LOG-8CD8BF5E7A04,2026-07-02T12:41:59+05:30,web,nextjs-app,request,info,safe,17,GET,/settings,200,87,admin,192.168.1.11,sess-926596a8,Chrome/126 Windows,api-01,staging,trace-ec540eafb6da4d94,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 87ms (next.js: 120ms, application-code: 1ms)"
316,LOG-847E6E9CF031,2026-07-02T12:42:43+05:30,web,nextjs-app,request,info,safe,15,GET,/settings,200,249,keerthi,172.16.0.33,sess-b0eb55a7,curl/8.1,worker-01,production,trace-64b73b7fa6684f0b,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 249ms (next.js: 10ms, application-code: 135ms)"
317,LOG-6C4D542B25E4,2026-07-02T12:43:55+05:30,api,auth-service,request,info,safe,11,PUT,/api/community-members-showcase/verify-hr,200,194,keerthi,172.16.0.33,sess-5d9903a4,Python-requests/2.32,app-01,production,trace-7ddb82bded1b4189,,,,No immediate action required. Continue normal monitoring.,"PUT /api/community-members-showcase/verify-hr 200 in 194ms (next.js: 62ms, application-code: 142ms)"
318,LOG-0A8A05489813,2026-07-02T12:44:16+05:30,web,api-gateway,request,info,safe,12,GET,/dashboard,200,884,keerthi,172.16.0.33,sess-3d54abb0,PostmanRuntime/7.37,worker-01,development,trace-3d66a2512a2d43be,,,,No immediate action required. Continue normal monitoring.,"GET /dashboard 200 in 884ms (next.js: 6ms, application-code: 795ms)"
319,LOG-BECA41A83589,2026-07-02T12:44:45+05:30,api,api-gateway,request,info,safe,11,GET,/api/payment,200,800,student02,192.168.2.15,sess-66589326,Chrome/126 Windows,db-01,staging,trace-f860dd4ae92c4c4b,,,,No immediate action required. Continue normal monitoring.,"GET /api/payment 200 in 800ms (next.js: 30ms, application-code: 742ms)"
320,LOG-B467FB1791E3,2026-07-02T12:45:56+05:30,web,api-gateway,request,info,safe,4,GET,/profile,201,926,hr_user,192.168.2.15,sess-7bd9d97f,BotProbe/1.0,app-02,production,trace-3e4a9ea2136d4fc4,,,,No immediate action required. Continue normal monitoring.,"GET /profile 201 in 926ms (next.js: 34ms, application-code: 858ms)"
321,LOG-2C9DDAAD1B29,2026-07-02T12:47:11+05:30,api,nextjs-app,request,info,safe,21,PATCH,/api/verify-admin-access,200,386,admin,172.16.0.33,sess-30784cc6,curl/8.1,worker-01,development,trace-85e860941bc14adf,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/verify-admin-access 200 in 386ms (next.js: 54ms, application-code: 383ms)"
322,LOG-5B5FC73DA609,2026-07-02T12:48:24+05:30,web,nextjs-app,request,info,safe,7,GET,/settings,304,98,admin,172.16.0.33,sess-52091fd4,Python-requests/2.32,app-02,development,trace-85e64953b48648fd,,,,No immediate action required. Continue normal monitoring.,"GET /settings 304 in 98ms (next.js: 40ms, application-code: 1ms)"
323,LOG-A9383321FE60,2026-07-02T12:48:58+05:30,web,api-gateway,request,info,safe,8,GET,/learning-paths,200,786,student02,172.16.0.21,sess-ef070535,BotProbe/1.0,db-01,staging,trace-88fda5b359854f52,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 786ms (next.js: 8ms, application-code: 693ms)"
324,LOG-DF37914C33D7,2026-07-02T12:49:07+05:30,api,auth-service,request,info,safe,19,PUT,/api/get-token,200,740,finance_user,192.168.1.12,sess-2eee9ec0,MobileChrome/126 Android,worker-01,staging,trace-8b8368c863694c2e,,,,No immediate action required. Continue normal monitoring.,"PUT /api/get-token 200 in 740ms (next.js: 102ms, application-code: 705ms)"
325,LOG-9505A4793088,2026-07-02T12:49:59+05:30,api,nextjs-app,request,info,safe,8,DELETE,/api/upload,201,800,student02,192.168.1.11,sess-238f2ba7,curl/8.1,app-01,development,trace-f6f94dfcca15475c,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/upload 201 in 800ms (next.js: 42ms, application-code: 685ms)"
326,LOG-DA7FD41E7F45,2026-07-02T12:51:10+05:30,api,api-gateway,request,info,safe,21,POST,/api/lab-proxy,200,291,guest,10.0.0.8,sess-4925495a,Chrome/126 Windows,api-01,staging,trace-f75eb7cbd1c744a7,,,,No immediate action required. Continue normal monitoring.,"POST /api/lab-proxy 200 in 291ms (next.js: 50ms, application-code: 174ms)"
327,LOG-EB524627FDB1,2026-07-02T12:52:27+05:30,web,auth-service,request,info,safe,1,GET,/reports,200,927,finance_user,10.0.0.8,sess-0ba8215b,Safari/17 macOS,web-01,staging,trace-e502656d39cd4c8e,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 927ms (next.js: 25ms, application-code: 848ms)"
328,LOG-13EE0F4AE7F6,2026-07-02T12:52:49+05:30,web,auth-service,request,info,safe,10,GET,/login,200,77,guest,192.168.2.15,sess-4651ef2d,Safari/17 macOS,app-02,production,trace-9f67dcec360c4347,,,,No immediate action required. Continue normal monitoring.,"GET /login 200 in 77ms (next.js: 52ms, application-code: 1ms)"
329,LOG-5939CB62B4D7,2026-07-02T12:53:06+05:30,api,auth-service,request,info,safe,6,GET,/api/credits-based/per-hour-cost,301,537,api_bot,192.168.1.10,sess-4f368d1b,Safari/17 macOS,gateway-01,production,trace-b4fb95b7e97644c6,,,,No immediate action required. Continue normal monitoring.,"GET /api/credits-based/per-hour-cost 301 in 537ms (next.js: 103ms, application-code: 522ms)"
330,LOG-B4DD05188D2C,2026-07-02T12:54:12+05:30,api,nextjs-app,request,info,safe,17,POST,/api/upload,201,272,manager,172.16.0.33,sess-15a2843c,Firefox/124 Windows,gateway-01,staging,trace-bf666e9578ea4e77,,,,No immediate action required. Continue normal monitoring.,"POST /api/upload 201 in 272ms (next.js: 38ms, application-code: 248ms)"
331,LOG-463E6B4B1FF7,2026-07-02T12:54:46+05:30,web,api-gateway,request,info,safe,6,GET,/reports,200,628,student02,192.168.2.15,sess-b8d63de3,Firefox/124 Windows,api-01,production,trace-482e1c66cb0c4d40,,,,No immediate action required. Continue normal monitoring.,"GET /reports 200 in 628ms (next.js: 58ms, application-code: 589ms)"
332,LOG-5C7D52166C17,2026-07-02T12:55:44+05:30,api,auth-service,request,info,safe,1,DELETE,/api/payment,304,151,student01,10.0.0.5,sess-4cbee86d,MobileChrome/126 Android,api-01,production,trace-c6525cb35eaa412c,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/payment 304 in 151ms (next.js: 25ms, application-code: 105ms)"
333,LOG-73828987D965,2026-07-02T12:56:10+05:30,web,api-gateway,request,info,safe,7,GET,/settings,200,840,keerthi,10.0.0.5,sess-aa76b320,BotProbe/1.0,api-01,production,trace-7c58efc0faa34726,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 840ms (next.js: 104ms, application-code: 783ms)"
334,LOG-0256391EC7CF,2026-07-02T12:56:35+05:30,web,auth-service,request,info,safe,10,GET,/admin,201,506,john,192.168.2.15,sess-65d3766e,MobileChrome/126 Android,worker-01,production,trace-17b664fab3724a24,,,,No immediate action required. Continue normal monitoring.,"GET /admin 201 in 506ms (next.js: 18ms, application-code: 460ms)"
335,LOG-9AD2C20DFD25,2026-07-02T12:56:38+05:30,web,auth-service,request,info,safe,11,GET,/billing,200,474,devops,192.168.1.12,sess-b8588bce,MobileChrome/126 Android,web-01,staging,trace-1d8f7d78b43e419a,,,,No immediate action required. Continue normal monitoring.,"GET /billing 200 in 474ms (next.js: 80ms, application-code: 384ms)"
336,LOG-A45795BD1100,2026-07-02T12:57:25+05:30,web,nextjs-app,request,info,safe,11,GET,/SIEM-Learning-path,200,190,student01,192.168.2.15,sess-e19ff788,Firefox/124 Windows,worker-01,development,trace-2aa9fd281a104817,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 190ms (next.js: 95ms, application-code: 80ms)"
